iso3c,country_name,country,gdp_per_capita,gdp_total,percent_gdp_for_research,researchers_per_million_people,population,population_density,urbanisation_percent_urban
ARE,United Arab Emirates,United Arab Emirates,49377.5643384379,537078829135.466,NA,NA,10876981,NA,88.008
GBR,United Kingdom,United Kingdom,52636.7865943853,3643834188782.91,NA,NA,69226000,NA,84.884
USA,United States,United States,85809.9003846356,29184890000000,NA,NA,340110988,NA,83.515
UMI,United States Minor Outlying Islands (the),NA,NA,NA,NA,NA,NA,NA,NA
URY,Uruguay,Uruguay,23906.5133029408,80961511073.5797,NA,NA,3386588,NA,95.852
UZB,Uzbekistan,Uzbekistan,3161.70010632875,114965293466.611,NA,NA,36361859,NA,50.626
VUT,Vanuatu,Vanuatu,3542.81071592874,1161251868.03498,NA,NA,327777,NA,26.147
VAT,Vatican City,NA,NA,NA,NA,NA,NA,NA,NA
VEN,Venezuela,Venezuela,NA,NA,NA,NA,28405543,NA,88.505
VNM,Vietnam,Viet Nam,4717.29028732449,476388230307.175,NA,NA,100987686,NA,40.195
WLF,Wallis & Futuna,NA,NA,NA,NA,NA,NA,NA,NA
ESH,Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA
YEM,Yemen,Yemen,NA,NA,NA,NA,40583164,NA,40.477
ZMB,Zambia,Zambia,1235.08466482514,26325775287.0226,NA,NA,21314956,NA,46.914
ZWE,Zimbabwe,Zimbabwe,2656.40937654332,44187704410.1191,NA,NA,16634373,NA,32.67
ALA,Åland Islands,NA,NA,NA,NA,NA,NA,NA,NA
AFE,NA,Africa Eastern and Southern,1567.63583892828,1205973813871.44,NA,NA,769294618,NA,38.9491140663563
AFW,NA,Africa Western and Central,1284.15444092323,670025655309.603,NA,NA,521764076,NA,50.2809344109865
ARB,NA,Arab World,7521.15330929761,3704768275595.84,NA,NA,492579811,NA,59.8836721544724
CSS,NA,Caribbean small states,20173.9564746676,91570798875.9048,NA,NA,4539060,NA,48.9393849292585
CEB,NA,Central Europe and the Baltics,24543.3040551653,2455559190577.36,NA,NA,100050066,NA,63.2318023578215
CHI,NA,Channel Islands,NA,NA,NA,NA,168126,NA,31.257
EAR,NA,Early-demographic dividend,4510.25268168449,16021674099781.5,NA,NA,3552278604,NA,47.5231454395816
EAS,NA,East Asia & Pacific,13349.0833109152,31882663454356.9,NA,NA,2388378491,NA,63.7106156319769
EAP,NA,East Asia & Pacific (excluding high income),10396.8255168912,22260874526758.1,NA,NA,2141122258,NA,60.8512427692917
TEA,NA,East Asia & Pacific (IDA & IBRD countries),10513.9755660123,22233410782170.8,NA,NA,2114653077,NA,60.8184186324706
EMU,NA,Euro area,46724.355622795,16406126934435.8,NA,NA,351125804,NA,78.2047154149856
ECS,NA,Europe & Central Asia,31392.581963732,29146936906252.2,NA,NA,928465742,NA,73.5167743020799
ECA,NA,Europe & Central Asia (excluding high income),9668.56270854153,2421839057172.22,NA,NA,250485944,NA,64.5629774408213
TEC,NA,Europe & Central Asia (IDA & IBRD countries),13257.56545104,6097876994310.88,NA,NA,459954508,NA,67.3900474271569
EUU,NA,European Union,43145.1566930223,19423319451330.3,NA,NA,450185396,NA,75.949283176978
FCS,NA,Fragile and conflict affected situations,1571.8004320986,1700322737099.85,NA,NA,1081767572,NA,45.2208730066018
HPC,NA,Heavily indebted poor countries (HIPC),1202.76979412349,1132303151467.19,NA,NA,941413026,NA,39.0592030211583
,NA,High income,50443.9276011316,71522995943824.2,NA,NA,1417871275,NA,81.3822975288008
IBD,NA,IBRD only,8253.9212527553591,41102217227752.3,NA,NA,4979720059,NA,58.51006436089
IBT,NA,IDA & IBRD total,6340.63327027503,43918119394039.4,NA,NA,6926456321,NA,53.3036885100507
IDB,NA,IDA blend,1565.83627113068,1060004843955.22,NA,NA,676957651,NA,45.5233364103481
IDX,NA,IDA only,1387.92937311476,1762363031559.76,NA,NA,1269778611,NA,37.0140733608173
IDA,NA,IDA total,1441.90853142035,2807015624603.16,NA,NA,1946736262,NA,39.9754060039184
XKX,NA,Kosovo,7299.43498083118,11148602232.663,NA,NA,1527324,NA,NA
LTE,NA,Late-demographic dividend,12843.3344406811,29910723278948.7,NA,NA,2328890789,NA,67.1157081306765
LCN,NA,Latin America & Caribbean,11044.6796556507,7313631690222.71,NA,NA,662185950,NA,82.0375662207342
LAC,NA,Latin America & Caribbean (excluding high income),10344.66889924,6146374383733.38,NA,NA,594158638,NA,81.6454505574133
TLA,NA,Latin America & the Caribbean (IDA & IBRD countries),10784.3171528207,6977493595927.05,NA,NA,647003746,NA,82.0533140211896
LDC,NA,Least developed countries: UN classification,1258.9400116614,1495340734264.69,NA,NA,1187777591,NA,36.9801086492437
LMY,NA,Low & middle income,5974.80452228263,39216943108499.1,NA,NA,6563719861,NA,53.1355985988779
,NA,Low income,746.934788844338,466541517790.093,NA,NA,624608098,NA,38.1296595552384
,NA,Lower middle income,2517.63261211924,7857490239272,NA,NA,3120983658,NA,41.5092867783328
MEA,NA,"Middle East, North Africa, Afghanistan & Pakistan",6180.85878446824,5025772564328.3,NA,NA,813118814,NA,55.7010004133504
MNA,NA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2903.59793979158,2153572215659.73,NA,NA,741690916,NA,52.5173231582966
TMN,NA,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2905.83377209255,2139861115659.73,NA,NA,736401764,NA,52.3351791276277
MIC,NA,Middle income,6524.2573581605,38748293620690.3,NA,NA,5939111763,NA,54.7141582203946
NAC,NA,North America,82406.4788664869,31435123430970.3,NA,NA,381464223,NA,83.351649228819
,NA,Not classified,NA,NA,NA,NA,NA,NA,NA
OED,NA,OECD members,48454.697540067304,67687054565878.2,NA,NA,1396914190,NA,81.912482501631
OSS,NA,Other small states,15867.6733515992,205790426259.972,NA,NA,12969162,NA,56.21947458687
PSS,NA,Pacific island small states,4399.41105391407,11977251413.7163,NA,NA,2722467,NA,39.7689648917691
PST,NA,Post-demographic dividend,55865.7865373976,63040640005163.4,NA,NA,1128430188,NA,82.5080268954733
PRE,NA,Pre-demographic dividend,1290.20000126508,1426898998276.72,NA,NA,1105951788,NA,44.7495240987105
SST,NA,Small states,15291.69576976,309361541400.629,NA,NA,20230689,NA,52.372312805115
SAS,NA,South Asia,2691.64556264089,4514924632400.27,NA,NA,1677384532,NA,36.8396884420978
TSA,NA,South Asia (IDA & IBRD),2691.64556264089,4514924632400.27,NA,NA,1677384532,NA,36.8396884420978
SSF,NA,Sub-Saharan Africa,1441.32038465812,1860829213452.29,NA,NA,1291058694,NA,43.5287174561879
SSA,NA,Sub-Saharan Africa (excluding high income),1506.22853698028,1745534471319.04,NA,NA,1158877573,NA,45.7910955791928
TSS,NA,Sub-Saharan Africa (IDA & IBRD countries),1441.32038465812,1860829213452.29,NA,NA,1291058694,NA,43.5287174561879
,NA,Upper middle income,10961.8184459945,30891808644564.4,NA,NA,2818128105,NA,69.3460465073936
WLD,NA,World,13663.9924550685,111252997846886,NA,NA,8142056446,NA,57.7006387971638
