iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_percent_gdp_for_research,wb_researchers_per_million_people,wb_population,wb_population_density,wb_urbanisation_percent_urban
CEB,Central Europe and the Baltics,24543.3040551653,2455559190577.36,NA,NA,100050066,NA,63.2318023578215
TCD,Chad,1016.08880662712,20625711664.6472,NA,NA,20299123,NA,24.691
CHI,Channel Islands,NA,NA,NA,NA,168126,NA,31.257
CHL,Chile,16709.8893972307,330267137371.592,NA,NA,19764771,NA,88.116
CHN,China,13303.1481543868,18743803170827.2,NA,NA,1408975000,NA,65.544
COL,Colombia,7913.98801464547,418542042920.189,NA,NA,52886363,NA,82.652
COM,Comoros,1784.11546860293,1546164420.32442,NA,NA,866628,NA,30.418
COD,Democratic Republic of the Congo,647.435704836002,70749355652.1207,NA,NA,109276265,NA,48.055
COG,Republic of Congo,2482.24894743495,15719985776.3966,NA,NA,6332961,NA,69.638
CRI,Costa Rica,18587.1532203614,95350423176.664,NA,NA,5129910,NA,83.167
CIV,Cote d'Ivoire,2709.89511641252,86538413923.3943,NA,NA,31934230,NA,53.644
HRV,Croatia,23931.4528382746,92526176108.621,NA,NA,3866300,NA,58.945
CUB,Cuba,NA,NA,NA,NA,10979783,NA,77.657
CUW,Curacao,NA,NA,NA,NA,155900,NA,89.033
CYP,Cyprus,38654.16796875,36333022329.4981,NA,NA,1358282,NA,67.082
CZE,Czechia,31706.6234229743,345036675975.047,NA,NA,10882164,NA,74.738
DNK,Denmark,71851.7562131368,429457372071.869,NA,NA,5976992,NA,88.626
DJI,Djibouti,3496.47111876763,4086402718.86834,NA,NA,1168722,NA,78.732
DMA,Dominica,10405.2787777582,688881481.481481,NA,NA,66205,NA,72.312
DOM,Dominican Republic,10875.6618443092,124282245638.568,NA,NA,11427557,NA,85.011
EAR,Early-demographic dividend,4510.25268168449,16021674099781.5,NA,NA,3552278604,NA,47.5231454395816
EAS,East Asia & Pacific,13349.0833109152,31882663454356.9,NA,NA,2388378491,NA,63.7106156319769
EAP,East Asia & Pacific (excluding high income),10396.8255168912,22260874526758.1,NA,NA,2141122258,NA,60.8512427692917
TEA,East Asia & Pacific (IDA & IBRD countries),10513.9755660123,22233410782170.8,NA,NA,2114653077,NA,60.8184186324706
ECU,Ecuador,6874.705739766,124676074700,NA,NA,18135478,NA,65.029
EGY,Egypt,3338.47371395895,389059911003.566,NA,NA,116538258,NA,43.258
SLV,El Salvador,5579.65969165029,35364960000,NA,NA,6338193,NA,75.996
GNQ,Equatorial Guinea,6745.40013244916,12765777677.0622,NA,NA,1892516,NA,74.874
ERI,Eritrea,NA,NA,NA,NA,3535603,NA,43.911
EST,Estonia,31170.0915091887,42764929169.3258,NA,NA,1371986,NA,70.019
SWZ,Eswatini,3936.10969242371,4891883720.15742,NA,NA,1242822,NA,25.013
ETH,Ethiopia,NA,NA,NA,NA,132059767,NA,23.661
EMU,Euro area,46724.355622795,16406126934435.8,NA,NA,351125804,NA,78.2047154149856
ECS,Europe & Central Asia,31392.581963732,29146936906252.2,NA,NA,928465742,NA,73.5167743020799
ECA,Europe & Central Asia (excluding high income),9668.56270854153,2421839057172.22,NA,NA,250485944,NA,64.5629774408213
TEC,Europe & Central Asia (IDA & IBRD countries),13257.56545104,6097876994310.88,NA,NA,459954508,NA,67.3900474271569
EUU,European Union,43145.1566930223,19423319451330.3,NA,NA,450185396,NA,75.949283176978
FRO,Faroe Islands,NA,NA,NA,NA,54719,NA,43.206
FJI,Fiji,6288.39867264416,5840564072.77313,NA,NA,928784,NA,59.192
FIN,Finland,53188.6186245158,299835625550.781,NA,NA,5637214,NA,85.872
FCS,Fragile and conflict affected situations,1571.8004320986,1700322737099.85,NA,NA,1081767572,NA,45.2208730066018
FRA,France,46150.4876861593,3162079073495.78,NA,NA,68516699,NA,82.044
PYF,French Polynesia,NA,NA,NA,NA,281807,NA,62.42
GAB,Gabon,8218.76307061848,20867044935.6729,NA,NA,2538952,NA,91.307
GMB,Gambia,908.525674150965,2507519958.34857,NA,NA,2759988,NA,65.08
GEO,Georgia,9193.66366361489,33776141250.5716,NA,NA,3673850,NA,61.162
DEU,Germany,55800.2194549412,4659929336890.62,NA,NA,83510950,NA,77.895
GHA,Ghana,2405.79466378083,82825288888.9734,NA,NA,34427414,NA,59.854
GIB,Gibraltar,NA,NA,NA,NA,39329,NA,100
GRC,Greece,24752.1068401681,257144811301.673,NA,NA,10388805,NA,80.984
GRL,Greenland,NA,NA,NA,NA,56836,NA,88.149
GRD,Grenada,11871.6117006031,1391435992.59259,NA,NA,117207,NA,37.267
GUM,Guam,NA,NA,NA,NA,167777,NA,95.24
GTM,Guatemala,6150.02597767851,113199586004.477,NA,NA,18406359,NA,53.542
GIN,Guinea,1717.02318120779,25334307878.737,NA,NA,14754785,NA,38.517
GNB,Guinea-Bissau,962.983627901892,2119865935.24909,NA,NA,2201352,NA,45.893
GUY,Guyana,29883.6341152001,24835899825.8993,NA,NA,831087,NA,27.316
HTI,Haiti,2142.62330526788,25224154990.7946,NA,NA,11772557,NA,60.472
HPC,Heavily indebted poor countries (HIPC),1202.76979412349,1132303151467.19,NA,NA,941413026,NA,39.0592030211583
,High income,50443.9276011316,71522995943824.2,NA,NA,1417871275,NA,81.3822975288008
HND,Honduras,3426.43483328923,37093565854.0437,NA,NA,10825703,NA,60.818
HKG,"Hong Kong SAR, China",54107.034521746,407106738445.069,NA,NA,7524100,NA,100
HUN,Hungary,23310.7512733957,222904723252.11,NA,NA,9562314,NA,73.179
IBD,IBRD only,8253.9212527553591,41102217227752.3,NA,NA,4979720059,NA,58.51006436089
ISL,Iceland,82703.8579937471,33462807982.85,NA,NA,404610,NA,94.094
IBT,IDA & IBRD total,6340.63327027503,43918119394039.4,NA,NA,6926456321,NA,53.3036885100507
IDB,IDA blend,1565.83627113068,1060004843955.22,NA,NA,676957651,NA,45.5233364103481
IDX,IDA only,1387.92937311476,1762363031559.76,NA,NA,1269778611,NA,37.0140733608173
IDA,IDA total,1441.90853142035,2807015624603.16,NA,NA,1946736262,NA,39.9754060039184
IND,India,2696.66389984463,3912686168582.21,NA,NA,1450935791,NA,36.867
IDN,Indonesia,4925.43048751861,1396300098190.97,NA,NA,283487931,NA,59.204
IRN,Iran (Islamic Republic of),4771.40029026226,436906331671.859,NA,NA,91567738,NA,77.698
IRQ,Iraq,6073.61032342708,279641257615.385,NA,NA,46042015,NA,71.853
IRL,Ireland,107316.337306921,577389475009.922,NA,NA,5380257,NA,64.76
IMN,Isle of Man,NA,NA,NA,NA,84160,NA,53.708
ISR,Israel,54176.6844383302,540379921261.681,NA,NA,9974400,NA,92.946
ITA,Italy,40226.0472416173,2372774547793.12,NA,NA,58986023,NA,72.292
JAM,Jamaica,7019.74634780454,19930288337.028,NA,NA,2839175,NA,57.762
JPN,Japan,32475.8924992191,4026210821146.81,NA,NA,123975371,NA,92.134
JOR,Jordan,4618.09592498567,53352289577.4648,NA,NA,11552876,NA,92.206
KAZ,Kazakhstan,14005.3487362345,288406138230.669,NA,NA,20592571,NA,58.387
KEN,Kenya,2206.1349785176,124498691699.125,NA,NA,56432944,NA,30.049
KIR,Kiribati,2288.63458265531,307862546.789627,NA,NA,134518,NA,58.448
PRK,"Korea, Dem. People's Rep.",NA,NA,NA,NA,26498823,NA,63.503
KOR,"Korea, Rep.",NA,NA,NA,NA,51751065,NA,81.498
XKX,Kosovo,7299.43498083118,11148602232.663,NA,NA,1527324,NA,NA
KWT,Kuwait,32213.8622292316,160227273001.348,NA,NA,4973861,NA,100
KGZ,Kyrgyz Republic,2419.26553574523,17478259659.2625,NA,NA,7224614,NA,38.166
LAO,Lao PDR,2123.97909411797,16502933121.0806,NA,NA,7769819,NA,38.906
LTE,Late-demographic dividend,12843.3344406811,29910723278948.7,NA,NA,2328890789,NA,67.1157081306765
LCN,Latin America & Caribbean,11044.6796556507,7313631690222.71,NA,NA,662185950,NA,82.0375662207342
LAC,Latin America & Caribbean (excluding high income),10344.66889924,6146374383733.38,NA,NA,594158638,NA,81.6454505574133
TLA,Latin America & the Caribbean (IDA & IBRD countries),10784.3171528207,6977493595927.05,NA,NA,647003746,NA,82.0533140211896
LVA,Latvia,23367.5986788961,43520773851.1219,NA,NA,1862441,NA,68.815
LDC,Least developed countries: UN classification,1258.9400116614,1495340734264.69,NA,NA,1187777591,NA,36.9801086492437
LBN,Lebanon,NA,NA,NA,NA,5805962,NA,89.603
LSO,Lesotho,971.814620468788,2271541845.62002,NA,NA,2337423,NA,30.897
LBR,Liberia,846.277368387389,4750000000,NA,NA,5612817,NA,54.077
LBY,Libya,6318.40314031017,46636278901.9016,NA,NA,7381023,NA,81.907
LIE,Liechtenstein,NA,NA,NA,NA,40197,NA,14.707
LTU,Lithuania,29386.2878350187,84869215513.3648,NA,NA,2888055,NA,68.936
LMY,Low & middle income,5974.80452228263,39216943108499.1,NA,NA,6563719861,NA,53.1355985988779
,Low income,746.934788844338,466541517790.093,NA,NA,624608098,NA,38.1296595552384
,Lower middle income,2517.63261211924,7857490239272,NA,NA,3120983658,NA,41.5092867783328
LUX,Luxembourg,137516.587324367,93197329011.7078,NA,NA,677717,NA,92.266
MAC,"Macao SAR, China",73046.8890267079,50183212761.3484,NA,NA,687000,NA,100
MDG,Madagascar,544.997302693127,17420814800.7045,NA,NA,31964956,NA,41.231
MWI,Malawi,508.371273531708,11008925322.5134,NA,NA,21655286,NA,18.598
MYS,Malaysia,11867.2586435443,421972102253.57,NA,NA,35557673,NA,79.201
MDV,Maldives,13215.5353637008,6975146349.42592,NA,NA,527799,NA,42.407
MLI,Mali,1086.1762176779,26588067731.1692,NA,NA,24478595,NA,46.934
MLT,Malta,42347.3073860173,24322006607.9295,NA,NA,574346,NA,95.006
MHL,Marshall Islands,7466.65186507409,280357844.229802,NA,NA,37548,NA,79.208
MRT,Mauritania,2082.78374423714,10766731873.5407,NA,NA,5169395,NA,58.458
MUS,Mauritius,11871.733679438,14952555414.8553,NA,NA,1259509,NA,40.944
MEX,Mexico,14157.9445835849,1852722885258.11,NA,NA,130861007,NA,81.862
FSM,"Micronesia, Fed. Sts.",4166.00476748564,471425099.488675,NA,NA,113160,NA,23.555
MEA,"Middle East, North Africa, Afghanistan & Pakistan",6180.85878446824,5025772564328.3,NA,NA,813118814,NA,55.7010004133504
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2903.59793979158,2153572215659.73,NA,NA,741690916,NA,52.5173231582966
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2905.83377209255,2139861115659.73,NA,NA,736401764,NA,52.3351791276277
MIC,Middle income,6524.2573581605,38748293620690.3,NA,NA,5939111763,NA,54.7141582203946
MDA,Moldova,7617.51613089815,18200340853.6517,NA,NA,2389275,NA,43.599
MCO,Monaco,NA,NA,NA,NA,38631,NA,100
MNG,Mongolia,6691.48209834228,23586055802.4517,NA,NA,3524788,NA,69.263
MNE,Montenegro,12935.4522712126,8069536125.80285,NA,NA,623831,NA,68.84
MAR,Morocco,3993.38745117188,154430996472.752,NA,NA,38081173,NA,65.643
MOZ,Mozambique,647.28579950207,22416650343.4786,NA,NA,34631766,NA,39.326
MMR,Myanmar,1359.25961394135,74079772652.4286,NA,NA,54500091,NA,32.47
NAM,Namibia,4413.1274418646,13372354268.5446,NA,NA,3030131,NA,55.795
NRU,Nauru,13421.8330584638,160350639.549467,NA,NA,11947,NA,100
NPL,Nepal,1447.31004458428,42914268286.7109,NA,NA,29651054,NA,22.366
NLD,Netherlands,68218.7261019406,1227543925316.41,NA,NA,17994237,NA,93.453
NCL,New Caledonia,NA,NA,NA,NA,292639,NA,73.106
NZL,New Zealand,48747.0136853042,260235932558.996,NA,NA,5338500,NA,87.091
NIC,Nicaragua,2847.53966339498,19693982967.5926,NA,NA,6916140,NA,60.155
NER,Niger,722.748650326257,19537639288.0633,NA,NA,27032412,NA,17.232
NGA,Nigeria,806.945695055244,187759703099.801,NA,NA,232679478,NA,55.03
NAC,North America,82406.4788664869,31435123430970.3,NA,NA,381464223,NA,83.351649228819
MKD,North Macedonia,9310.02790015256,16685236492.0675,NA,NA,1792179,NA,59.868
MNP,Northern Mariana Islands,NA,NA,NA,NA,44278,NA,92.171
NOR,Norway,86809.7246897431,483727398216.364,NA,NA,5572272,NA,84.318
,Not classified,NA,NA,NA,NA,NA,NA,NA
OED,OECD members,48454.697540067304,67687054565878.2,NA,NA,1396914190,NA,81.912482501631
OMN,Oman,20248.4168124608,106942782834.85,NA,NA,5281538,NA,88.998
OSS,Other small states,15867.6733515992,205790426259.972,NA,NA,12969162,NA,56.21947458687
PSS,Pacific island small states,4399.41105391407,11977251413.7163,NA,NA,2722467,NA,39.7689648917691
PAK,Pakistan,1484.74985864775,373071855731.539,NA,NA,251269164,NA,38.365
PLW,Palau,NA,NA,NA,NA,17695,NA,82.839
PAN,Panama,19102.8521936399,86260400000,NA,NA,4515577,NA,69.888
PNG,Papua New Guinea,3076.48786186584,32538480023.9998,NA,NA,10576502,NA,13.88
PRY,Paraguay,6416.09709002917,44458118399.6669,NA,NA,6929153,NA,63.489
PER,Peru,8452.37167047598,289221969059.853,NA,NA,34217848,NA,79.139
PHL,Philippines,3984.8315387656,461617509782.355,NA,NA,115843670,NA,48.614
POL,Poland,25022.6716445953,914696430325.391,NA,NA,36554707,NA,60.33
PRT,Portugal,28844.4979246799,308683317392.68,NA,NA,10701636,NA,68.423
PST,Post-demographic dividend,55865.7865373976,63040640005163.4,NA,NA,1128430188,NA,82.5080268954733
PRE,Pre-demographic dividend,1290.20000126508,1426898998276.72,NA,NA,1105951788,NA,44.7495240987105
PRI,Puerto Rico (US),39285.0174585856,125841500000,NA,NA,3203295,NA,93.664
QAT,Qatar,76275.9076782833,217982967032.967,NA,NA,2857822,NA,99.387
ROU,Romania,20072.4079244042,382767571329.158,NA,NA,19069340,NA,54.88
RUS,Russian Federation,14889.0185546875,2173835806671.66,NA,NA,143533851,NA,75.548
RWA,Rwanda,999.654561402699,14251642231.4932,NA,NA,14256567,NA,18.081
WSM,Samoa,4898.77140817676,1068025243.63929,NA,NA,218019,NA,17.42
SMR,San Marino,NA,NA,NA,NA,33977,NA,97.932
STP,Sao Tome and Principe,3244.82899741459,764274042.735043,NA,NA,235536,NA,77.014
SAU,Saudi Arabia,35057.2252306969,1237529866666.67,NA,NA,35300280,NA,85.171
SEN,Senegal,1743.98888384359,32267254425.052,NA,NA,18501984,NA,50.08
SRB,Serbia,13523.7246826854,89083506277.2344,NA,NA,6587202,NA,57.371
SYC,Seychelles,17858.8226383978,2167239562.46013,NA,NA,121354,NA,59.242
SLE,Sierra Leone,873.388575182318,7547843281.27425,NA,NA,8642022,NA,44.779
SGP,Singapore,90674.066632628,547386645891.847,NA,NA,6036860,NA,100
SXM,Sint Maarten (Dutch part),40027.9175992113,1735210227.92581,NA,NA,43350,NA,100
SVK,Slovakia,26147.9028430133,141775733420.114,NA,NA,5422069,NA,54.172
SVN,Slovenia,34089.3527652778,72485008929.2766,NA,NA,2126324,NA,56.438
SST,Small states,15291.69576976,309361541400.629,NA,NA,20230689,NA,52.372312805115
SLB,Solomon Islands,2149.37957267304,1760767447.17461,NA,NA,819198,NA,26.488
SOM,"Somalia, Fed. Rep.",636.983477589273,12108515109.9996,NA,NA,19009151,NA,48.519
ZAF,South Africa,6253.37158194543,400260724226.067,NA,NA,64007187,NA,69.298
SAS,South Asia,2691.64556264089,4514924632400.27,NA,NA,1677384532,NA,36.8396884420978
TSA,South Asia (IDA & IBRD),2691.64556264089,4514924632400.27,NA,NA,1677384532,NA,36.8396884420978
SSD,South Sudan,NA,NA,NA,NA,11943408,NA,21.56
ESP,Spain,35297.0094995565,1722745978335.16,NA,NA,48807137,NA,81.802
LKA,Sri Lanka,4515.56787322732,98963185509.6499,NA,NA,21916000,NA,19.416
KNA,St. Kitts and Nevis,22771.4168922033,1066681481.48148,NA,NA,46843,NA,31.221
LCA,St. Lucia,14181.6303351598,2549062962.96296,NA,NA,179744,NA,19.306
MAF,St. Martin (French part),NA,NA,NA,NA,26129,NA,NA
VCT,St. Vincent and the Grenadines,11501.2265187188,1157207407.40741,NA,NA,100616,NA,54.725
SSF,Sub-Saharan Africa,1441.32038465812,1860829213452.29,NA,NA,1291058694,NA,43.5287174561879
SSA,Sub-Saharan Africa (excluding high income),1506.22853698028,1745534471319.04,NA,NA,1158877573,NA,45.7910955791928
TSS,Sub-Saharan Africa (IDA & IBRD countries),1441.32038465812,1860829213452.29,NA,NA,1291058694,NA,43.5287174561879
SDN,Sudan,989.312866210938,49909807029.6996,NA,NA,50448963,NA,36.752
SUR,Suriname,7430.70219176443,4714267822.2233,NA,NA,634431,NA,66.533
SWE,Sweden,57723.2345031532,610117791237.089,NA,NA,10569709,NA,88.976
CHE,Switzerland,103669.872008144,936564198048.516,NA,NA,9034102,NA,74.327
SYR,Syrian Arab Republic,NA,NA,NA,NA,24672760,NA,58.044
TJK,Tajikistan,1341.20229027672,14204575548.5536,NA,NA,10590927,NA,28.523
TZA,Tanzania,1185.74548339844,78779864877.3018,NA,NA,68560157,NA,38.136
THA,Thailand,7345.13569000377,526411265427.683,NA,NA,71668011,NA,54.32
TLS,Timor-Leste,1343.14886031844,1881265333.4187,NA,NA,1400638,NA,32.842
TGO,Togo,1043.14092889765,9925732119.72034,NA,NA,9515236,NA,45.064
TON,Tonga,NA,NA,NA,NA,104175,NA,23.21
TTO,Trinidad and Tobago,19314.7163432664,26428963758.1307,NA,NA,1368333,NA,53.562
TUN,Tunisia,4350.3717971875,53409988744.5968,NA,NA,12277109,NA,70.88
TUR,Turkiye,15473.2872636856,1323254808058.74,NA,NA,85518661,NA,77.893
TKM,Turkmenistan,8571.60702949432,64239891739.3311,NA,NA,7494498,NA,54.524
TCA,Turks and Caicos Islands,37506.7798431288,1745378000,NA,NA,46535,NA,94.433
TUV,Tuvalu,NA,NA,NA,NA,9646,NA,66.928
UGA,Uganda,1072.71369837695,53651874313.9836,NA,NA,50015092,NA,27.389
UKR,Ukraine,5389.47314453125,190741263731.535,NA,NA,37860221,NA,70.284
ARE,United Arab Emirates,49377.5643384379,537078829135.466,NA,NA,10876981,NA,88.008
GBR,United Kingdom,52636.7865943853,3643834188782.91,NA,NA,69226000,NA,84.884
USA,United States,85809.9003846356,29184890000000,NA,NA,340110988,NA,83.515
,Upper middle income,10961.8184459945,30891808644564.4,NA,NA,2818128105,NA,69.3460465073936
URY,Uruguay,23906.5133029408,80961511073.5797,NA,NA,3386588,NA,95.852
UZB,Uzbekistan,3161.70010632875,114965293466.611,NA,NA,36361859,NA,50.626
VUT,Vanuatu,3542.81071592874,1161251868.03498,NA,NA,327777,NA,26.147
VEN,Venezuela,NA,NA,NA,NA,28405543,NA,88.505
VNM,Viet Nam,4717.29028732449,476388230307.175,NA,NA,100987686,NA,40.195
VIR,Virgin Islands (U.S.),NA,NA,NA,NA,104377,NA,96.314
PSE,West Bank and Gaza,2592.30591217647,13711100000,NA,NA,5289152,NA,77.877
WLD,World,13663.9924550685,111252997846886,NA,NA,8142056446,NA,57.7006387971638
YEM,Yemen,NA,NA,NA,NA,40583164,NA,40.477
ZMB,Zambia,1235.08466482514,26325775287.0226,NA,NA,21314956,NA,46.914
ZWE,Zimbabwe,2656.40937654332,44187704410.1191,NA,NA,16634373,NA,32.67
